name,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,cost_for_two,meal_type,city
Uday Sweets,Yes,No,3.5,33,Koramangala 6th Block,Sweet Shop,"Jalebi, Poha, Puri Sabzi","Mithai, Fast Food",250,Delivery,Koramangala 4th Block
Rolls & Co,Yes,No,3.9,213,Koramangala 6th Block,Quick Bites,"Rolls, Chicken Wings, Shawarma, Chicken Tikka Roll, Burgers, Fries, Pasta","Burger, Beverages, Rolls",400,Delivery,Koramangala 4th Block
Tasty Jigarthanda,Yes,No,3.4,11,BTM,Beverage Shop,Unknown,"Beverages, Ice Cream",150,Delivery,Koramangala 4th Block
BelgYum,Yes,No,4.0,70,Koramangala 7th Block,Dessert Parlor,Waffles,Desserts,400,Delivery,Koramangala 4th Block
Rotti Mane,Yes,No,3.4,10,Domlur,Quick Bites,Unknown,South Indian,200,Delivery,Koramangala 4th Block
Juiced Burger,Yes,No,3.5,5,South Bangalore,Delivery,Unknown,Burger,750,Delivery,Koramangala 4th Block
Kadal Da Meen,Yes,No,3.9,119,HSR,Casual Dining,"Sea Food, Anjal Tava Fry, Murgh Ghee Roast, Chicken Curry","Biryani, Seafood",900,Delivery,Koramangala 4th Block
Sharma's Malai & Masala,Yes,No,4.0,457,Koramangala 1st Block,Casual Dining,"Chicken Biryani, Kulcha, Chicken Chatpata, Panneer Butter Masala, Paneer Lababdar, Tandoori Chicken, Shahi Paneer",North Indian,650,Delivery,Koramangala 4th Block
Malabar Mandra,Yes,No,3.6,45,Koramangala 1st Block,Casual Dining,Unknown,"Kerala, Chinese",700,Delivery,Koramangala 4th Block
Calicut Durbar,Yes,No,3.9,58,Koramangala 7th Block,Quick Bites,Unknown,"Arabian, North Indian",500,Delivery,Koramangala 4th Block
Big Mishra Pedha,No,No,3.7,61,BTM,Sweet Shop,Rasmalai,Mithai,250,Delivery,Koramangala 4th Block
Fiero! Pizzeria,Yes,No,4.0,61,Koramangala 6th Block,Quick Bites,"Pizza, Ice Cream Roll","Italian, Fast Food, Pizza",400,Delivery,Koramangala 4th Block
Joon Restaurant,Yes,No,3.7,31,BTM,Quick Bites,Unknown,"Arabian, Chinese, North Indian, Kerala, Juices",400,Delivery,Koramangala 4th Block
New Punjabi Hotel,Yes,No,3.7,180,BTM,Quick Bites,"Tandoori Chicken, Butter Chicken, Tandoori Roti, Bhindi Masala, Paratha, Dal Makhani","North Indian, Chinese",400,Delivery,Koramangala 4th Block
ReFresh Juice Junction,Yes,No,4.1,57,Koramangala 1st Block,"Beverage Shop, Quick Bites","Pasta, Burgers, Sandwiches","Juices, Fast Food",200,Delivery,Koramangala 4th Block
Gyani Da Punjabi Dhaba,Yes,No,3.9,1189,BTM,Quick Bites,"Lassi, Paratha, Paneer Parantha, Butter Chicken, Punjabi Chicken, Shahi Paneer, Chicken Kolhapuri","North Indian, Chinese",500,Delivery,Koramangala 4th Block
Pazzo,Yes,No,4.3,376,HSR,Casual Dining,"Pasta, Salad, Spaghetti, Burgers, Mocktails, Chettinad Pizza, Veg Burger","American, Modern Indian, Italian, South Indian",700,Delivery,Koramangala 4th Block
Pingara,Yes,No,3.8,94,Koramangala 1st Block,Casual Dining,"Sea Food, Beer, Fish Thali, Fish Fry, Chicken Tikka, Neer Dosa","North Indian, Chinese, Mangalorean",600,Delivery,Koramangala 4th Block
Lucknowiz,Yes,No,3.5,323,Koramangala 1st Block,Quick Bites,"Tikki, Chicken Tikka, Chicken Biryani, Thali, Shammi Kebab Roll, Rumali Roti, Nihari","Lucknowi, Chinese",500,Delivery,Koramangala 4th Block
The Kitchen,Yes,No,3.6,9,Koramangala 1st Block,Quick Bites,Unknown,North Indian,300,Delivery,Koramangala 4th Block
Nasi And Mee,Yes,Yes,4.4,2389,Koramangala 4th Block,Casual Dining,"Salads, Shitake Mushrooms, Noodles, Dumplings, Nasi Goreng, Crispy Corn, Vegetarian","Malaysian, Thai, Singaporean, Asian, Chinese, Momos",1000,Delivery,Koramangala 4th Block
Ascharya Hotel,Yes,No,3.4,11,Koramangala 5th Block,Quick Bites,Unknown,"Mangalorean, South Indian",300,Delivery,Koramangala 4th Block
TOKI Taco House,Yes,No,3.6,72,Koramangala 6th Block,Quick Bites,"Chicken Nachos, Chicken Tacos, Rice Bowl",Mexican,200,Delivery,Koramangala 4th Block
Sidewalk Cafe & Bar - The Paul Bangalore,Yes,Yes,4.2,217,Domlur,Casual Dining,"Beer, Mocktails, Vada, Pancakes, Waffles, Pasta, Appam","European, Italian, Asian",1500,Delivery,Koramangala 4th Block
Kor Cafe,Yes,No,3.8,36,Koramangala 1st Block,Quick Bites,Unknown,Kerala,300,Delivery,Koramangala 4th Block
Bhaijaan Barbeques,Yes,No,3.5,9,South Bangalore,Food Truck,Unknown,"Mughlai, Arabian, BBQ",200,Delivery,Koramangala 4th Block
New Friends,Yes,No,3.8,273,BTM,Casual Dining,"Fritters, Lasagne, Biryani, Fish, Pasta, Draught Beer, Hot Pot","North Indian, Continental, Chinese, Steak",900,Delivery,Koramangala 4th Block
Bistro Oui,Yes,Yes,4.1,402,Koramangala 5th Block,"Cafe, Bar","Veg Burger, Pork Ribs, Pizza, Chicken Sandwich, Steak, Burgers, Mushroom Soup","Cafe, Continental, Salad, Steak",1200,Delivery,Koramangala 4th Block
Biriyani Bungalow,Yes,No,3.2,4,HSR,Casual Dining,Unknown,"Biryani, North Indian",600,Delivery,Koramangala 4th Block
Biryani Junction,Yes,No,2.3,298,Bommanahalli,Quick Bites,"Raita, Vegetable Biryani, Biryani Combo","Biryani, North Indian, Chinese",450,Delivery,Koramangala 4th Block
Navya's,Yes,No,2.5,47,Bommanahalli,Casual Dining,Unknown,"Hyderabadi, Biryani, North Indian",800,Delivery,Koramangala 4th Block
Eat Well,Yes,No,3.5,32,Indiranagar,Quick Bites,Unknown,"North Indian, Chinese",400,Delivery,Koramangala 4th Block
Oregano Pizzeria,Yes,No,3.7,52,Koramangala 4th Block,Cafe,"Margherita Pizza, Cheesy Bites","Cafe, Italian, Pizza",450,Delivery,Koramangala 4th Block
Entropy Cafe,Yes,No,4.1,506,Koramangala 6th Block,Cafe,"Nachos, Biryani, Chaat, Pancakes, Pizza, Pasta, Burgers","Cafe, Chinese, Pizza, North Indian, Burger",600,Delivery,Koramangala 4th Block
Daawat Restaurant Bar & Pub,Yes,No,3.5,9,Koramangala 7th Block,"Bar, Casual Dining",Unknown,"Finger Food, North Indian, Seafood, Mangalorean, Chinese",700,Delivery,Koramangala 4th Block
Mumbai Tiffin,Yes,No,4.4,1290,HSR,Quick Bites,"Thali, Coffee, Buttermilk, Tea, Methi Paratha, Sweet Lassi, Aamras",North Indian,400,Delivery,Koramangala 4th Block
Desi Bytes,Yes,No,3.1,97,Old Airport Road,Quick Bites,"Biryani, Murgh Lababdar, Thali","North Indian, Chinese",450,Delivery,Koramangala 4th Block
Rang De Basanthi,Yes,No,3.7,434,Koramangala 4th Block,Quick Bites,"Bhindi Fry, Aloo Fry, Sweet Lassi, Paratha, Tawa Roti, Palak Paneer, Butter Chicken","North Indian, South Indian, Chinese",400,Delivery,Koramangala 4th Block
Kinpeetos,Yes,No,3.9,64,Koramangala 5th Block,Quick Bites,"Burgers, Belgian Fries, Pasta, Salads, Falafel Pockets, Greek Sandwich","Lebanese, Greek",300,Delivery,Koramangala 4th Block
Pipabu,Yes,No,3.8,74,Koramangala 4th Block,Casual Dining,"Pasta, Pizza","Continental, Italian, Chinese",750,Delivery,Koramangala 4th Block
Funky Punjab,Yes,No,3.8,127,BTM,Quick Bites,"Roti, Dal Makhani, Lassi, Panneer Butter Masala, Kulcha, Masala Papad, Butter Chicken","North Indian, Chinese",400,Delivery,Koramangala 4th Block
Hotel Parampare,Yes,No,2.9,13,Koramangala 7th Block,Casual Dining,Unknown,"North Indian, Mughlai, Biryani",600,Delivery,Koramangala 4th Block
Meeraa's Beegara Oota,Yes,No,3.8,258,HSR,Casual Dining,"Mutton Fry, Mutton Keema, Mutton Biryani, Chicken Biryani, Mutton Chops, Ragi Mudde, Mutton Curry","South Indian, Biryani",600,Delivery,Koramangala 4th Block
Sardarji Ka Dhaba,Yes,No,4.0,758,Hosur Road,Quick Bites,"Lassi, Punjabi Chicken, Paratha, Kadhai Murgh, Butter Naan, Lemon Chicken, Roti",North Indian,250,Delivery,Koramangala 4th Block
A Today Thick Shakes,No,No,3.2,9,Koramangala 5th Block,Beverage Shop,Unknown,Beverages,200,Delivery,Koramangala 4th Block
The Chaat Shop,No,No,3.2,9,BTM,Quick Bites,Unknown,Street Food,100,Delivery,Koramangala 4th Block
Kargeens,Yes,No,4.1,991,Koramangala 6th Block,Cafe,"Mocktails, Pasta Alfredo, Nachos, Veggie Pizza, Chicken Steak, Hot Chocolate, Noodles","Cafe, Continental, Italian",600,Delivery,Koramangala 4th Block
Once Upon A Flame,Yes,No,4.5,2071,HSR,Casual Dining,"Burgers, Pasta, Mocktails, Mashed Potato, Salads, Chicken Steak, Beef Steak","Steak, Continental, Burger, BBQ",1200,Delivery,Koramangala 4th Block
Nammura Donne Biriyani,Yes,No,3.6,68,BTM,Quick Bites,Unknown,"Andhra, Biryani",300,Delivery,Koramangala 4th Block
The Vape,Yes,No,4.0,611,HSR,Casual Dining,"Pasta Primavera, Mocktails, Cheese Corn Balls, Noodles, Pad Thai, Sushi, Pasta Alfredo","Asian, Beverages",800,Delivery,Koramangala 4th Block
North Indian Tadka,Yes,No,3.0,6,Ejipura,Quick Bites,Unknown,"Chinese, North Indian",200,Delivery,Koramangala 4th Block
Tasty Magic,Yes,No,2.7,73,BTM,Casual Dining,"Shawarma, Chicken Grill, Biryani","Chinese, North Indian",600,Delivery,Koramangala 4th Block
Tharavadu,Yes,No,3.8,83,HSR,Quick Bites,"Biryani, Fish Curry","Chinese, North Indian, Kerala",400,Delivery,Koramangala 4th Block
Delicacy,Yes,No,3.9,522,Koramangala 4th Block,Casual Dining,"Noodles, Momos, Chicken Manchow Soup, Chicken Noodle, Prawn, Chicken Honey, Thai Rice","Chinese, Thai, Momos",500,Delivery,Koramangala 4th Block
Bombay Kulfis,Yes,No,3.9,28,Koramangala 5th Block,Dessert Parlor,Unknown,Ice Cream,200,Delivery,Koramangala 4th Block
Bake and Juice,Yes,No,3.5,15,BTM,Quick Bites,Unknown,"Fast Food, North Indian",400,Delivery,Koramangala 4th Block
Matka,Yes,Yes,3.5,27,HSR,Casual Dining,Unknown,"North Indian, Biryani",700,Delivery,Koramangala 4th Block
Basmati Delights,Yes,No,4.0,870,BTM,Delivery,"Tandoori Chicken, Mutton Biryani, Andhra Biryani, Raita, Hyderabadi Dum Biryani, Chicken Boneless Biryani, Vegetable Biryani","Biryani, Chinese, Mughlai, Fast Food, Kebab",500,Delivery,Koramangala 4th Block
Chefie,Yes,No,3.5,16,BTM,"Takeaway, Delivery",Unknown,"Continental, Fast Food, Italian, North Indian",200,Delivery,Koramangala 4th Block
Biriyaniz,Yes,No,3.5,304,HSR,"Takeaway, Delivery","Chicken Guntur, Pepper Chicken, Chicken Biryani, Raita","Biryani, North Indian, Chinese, Andhra",400,Delivery,Koramangala 4th Block
Feaster,Yes,No,3.8,88,HSR,Casual Dining,"Liver Fry, Burgers, Pizza","Continental, Asian, Chinese, Italian, North Indian",600,Delivery,Koramangala 4th Block
MK Dabbawala,Yes,No,3.1,5,Koramangala 4th Block,Delivery,Unknown,North Indian,400,Delivery,Koramangala 4th Block
Oldtown Dilli,Yes,Yes,4.1,256,Koramangala 4th Block,Casual Dining,"Rabri, Tandoori Roti, Mutton Roganjosh, Shahi Tukda, Naan, Mutton Seekh, Malai Kofta","Mughlai, North Indian, Turkish, Afghan",750,Delivery,Koramangala 4th Block
Reddy's Restaurant,Yes,No,3.7,141,HSR,Casual Dining,"Chicken Biryani, Mutton Roganjosh, Andhra Meal","Andhra, Biryani, South Indian, Chinese",500,Delivery,Koramangala 4th Block
A Hole Lotta Love Cafe,Yes,No,4.4,2867,Koramangala 5th Block,Cafe,"Burgers, Waffles, Pancakes, Chicken Lasagne, English Breakfast, Sandwiches, Pasta","Cafe, American, Burger, Sandwich, Beverages",600,Delivery,Koramangala 4th Block
Ross Kitchen,Yes,No,3.6,24,BTM,Delivery,Unknown,Chinese,400,Delivery,Koramangala 4th Block
A.M New Punjab Food Corner,Yes,No,3.5,21,Koramangala 1st Block,Quick Bites,Unknown,"North Indian, Chinese",350,Delivery,Koramangala 4th Block
Tasty Noodle,Yes,No,3.4,5,HSR,Quick Bites,Unknown,"Chinese, Seafood",400,Delivery,Koramangala 4th Block
SnacksJoint,Yes,No,3.7,52,Old Airport Road,Quick Bites,Unknown,Fast Food,150,Delivery,Koramangala 4th Block
Flavour of Himalaya,Yes,No,3.7,24,Koramangala 5th Block,Quick Bites,Unknown,Asian,500,Delivery,Koramangala 4th Block
Just Bake,Yes,No,3.8,123,Koramangala 5th Block,Bakery,"Coffee, Cup Cake","Bakery, Desserts",400,Delivery,Koramangala 4th Block
Fill N Chill Resto Bar & Pub,Yes,Yes,3.9,597,Koramangala 4th Block,Bar,"Beer, Biryani, Cocktails, Masala Peanuts, Chicken Tikka, Chips, Fish","Finger Food, North Indian, Chinese",1200,Delivery,Koramangala 4th Block
Frolic,Yes,No,3.9,33,Koramangala 7th Block,Dessert Parlor,Unknown,"Juices, Ice Cream",200,Delivery,Koramangala 4th Block
Rayaan's BBQ,Yes,No,3.3,6,BTM,Quick Bites,Unknown,"North Indian, BBQ",350,Delivery,Koramangala 4th Block
Cochin Connection,Yes,No,3.6,41,Koramangala 6th Block,Food Court,Unknown,"Kerala, South Indian",500,Delivery,Koramangala 4th Block
Punjabi Tadka,Yes,No,2.8,189,HSR,Casual Dining,"Paneer Parantha, Mutton Biryani, Lassi, Dal Makhani, Thali, Aloo Paratha","North Indian, Chinese",400,Delivery,Koramangala 4th Block
Raichur Biryani House,Yes,No,3.8,283,HSR,Quick Bites,"Chicken Biryani, Dum Biryani, Vegetable Biryani, Mutton Biryani","Biryani, North Indian, Chinese",400,Delivery,Koramangala 4th Block
Cafe Mondo,Yes,No,3.6,485,HSR,"Cafe, Casual Dining","Coffee, Pasta, Sandwiches, Pizza, Nachos, Blueberry Cheesecake, Burgers","Cafe, Italian, Pizza, Chinese",700,Delivery,Koramangala 4th Block
Noon's,Yes,No,4.2,163,HSR,Quick Bites,"Chicken Biryani, Hyderabadi Dum Biryani, Raita",Biryani,300,Delivery,Koramangala 4th Block
A3 Nuwang Kitchen,Yes,No,3.7,42,Ejipura,Quick Bites,Unknown,"Chinese, North Indian",300,Delivery,Koramangala 4th Block
Arabian Bites,Yes,No,3.4,24,BTM,Quick Bites,Unknown,"North Indian, Chinese",500,Delivery,Koramangala 4th Block
PagalKhana,Yes,Yes,3.9,143,Koramangala 4th Block,Casual Dining,"Mocktails, Pasta, Wood Fire Pizza, Paneer Malai Tikka, French Fries, Nachos, Burgers","Continental, Chinese, Fast Food, Beverages",1000,Delivery,Koramangala 4th Block
Nutripress,Yes,No,3.3,4,Koramangala 8th Block,Beverage Shop,Unknown,Juices,200,Delivery,Koramangala 4th Block
Sarvam,Yes,No,3.5,125,HSR,Casual Dining,"Roti, Paratha, Appam, Chicken Biryani, Kothu Parotta, Elaneer Payasam, Fish Fry","South Indian, Chettinad, Chinese, North Indian, Andhra, Seafood",550,Delivery,Koramangala 4th Block
Pot-O-Noodles,No,Yes,4.3,162,Koramangala 4th Block,Casual Dining,"Noodles, Mocktails, Miso Soup, Chilli Ramen, Chicken Grill, Steamed Rice, Gyoza","Chinese, Asian, Japanese",800,Delivery,Koramangala 4th Block
KafeKombos,Yes,No,3.5,16,HSR,"Takeaway, Delivery",Unknown,"North Indian, South Indian, Oriya",300,Delivery,Koramangala 4th Block
Mamatha Restaurant,Yes,No,2.6,74,Bommanahalli,Casual Dining,Unknown,"Biryani, Hyderabadi, North Indian",700,Delivery,Koramangala 4th Block
Habitts,Yes,No,3.7,61,BTM,Quick Bites,Nutella Waffle,"Fast Food, Burger, Italian, Beverages",350,Delivery,Koramangala 4th Block
Lassi Top,Yes,No,3.2,7,Koramangala 4th Block,Beverage Shop,Unknown,"Beverages, Ice Cream",200,Delivery,Koramangala 4th Block
Tandoor Garden,Yes,No,3.6,71,BTM,Quick Bites,"Tandoori Chicken, Butter Naan, Kadai Paneer, Pepper Chicken","North Indian, Chinese, Kebab",350,Delivery,Koramangala 4th Block
Bengaluru House,Yes,No,2.6,21,HSR,Casual Dining,Unknown,South Indian,700,Delivery,Koramangala 4th Block
Knight Ryders,Yes,No,3.4,239,BTM,Delivery,Unknown,"North Indian, Chinese",400,Delivery,Koramangala 4th Block
Asia Kitchen By Mainland China,Yes,Yes,4.9,2217,Koramangala 5th Block,"Casual Dining, Bar","Chicken Dim Sum, Pad Thai Noodle, Jumbo Prawns, Cocktails, Prawn Sushi, Treasure Soup, Chocolate Roll","Asian, Chinese, Thai, Momos",1500,Delivery,Koramangala 4th Block
The Vacationer's Cafe,Yes,No,4.1,306,Koramangala 7th Block,Cafe,"Nachos, Fries, Pasta, Sizzler Brownie, Masala Chai, Pizza, Burgers","Cafe, Continental, Mexican",600,Delivery,Koramangala 4th Block
Hotel Tom's Restaurant,Yes,No,4.1,67,Koramangala 6th Block,Casual Dining,"Neer Dosa, Prawn Curry, Pork Chilli, Biryani, Sea Food, Kori Roti, Chicken Curry","Mangalorean, Seafood, Chinese, North Indian",1000,Delivery,Koramangala 4th Block
Mid-Night Crunch,Yes,No,3.7,455,HSR,"Takeaway, Delivery",Rolls,"North Indian, Chinese",400,Delivery,Koramangala 4th Block
Desi Flavours,Yes,No,3.9,121,Koramangala 1st Block,Quick Bites,"Chicken Biryani, Thali, Rolls, Ambur Biryani, Palak Paneer, Salad, Bhatti Ka Murgh","North Indian, Chinese, Biryani",400,Delivery,Koramangala 4th Block
Min Mini Punjabi Dhaba,Yes,No,3.9,85,Koramangala 7th Block,Quick Bites,"Dal Makhani, Amritsari Kulcha",North Indian,400,Delivery,Koramangala 4th Block
Shabari Kitchen,Yes,No,3.5,16,Koramangala 1st Block,Quick Bites,Unknown,"South Indian, Chinese",150,Delivery,Koramangala 4th Block
Lassi Pot,Yes,No,3.3,4,BTM,Beverage Shop,Unknown,Beverages,250,Delivery,Koramangala 4th Block
Cafe 221B,Yes,Yes,3.7,49,BTM,Cafe,Unknown,"Cafe, Beverages",300,Delivery,Koramangala 4th Block
Ustaad Biryani,Yes,No,3.2,5,HSR,Delivery,Unknown,Biryani,500,Delivery,Koramangala 4th Block
The Rasoiya Street,Yes,Yes,4.1,1326,HSR,Casual Dining,"Sandwich, Mushroom Soup, Enchiladas, Wood Fire Pizza, Tawa Pulav, Broccoli Soup, Achari Paneer","North Indian, Continental, Mediterranean, Chinese",800,Delivery,Koramangala 4th Block
Petoo,Yes,No,3.8,178,Koramangala 1st Block,Casual Dining,"Chaat, Gulab Jamun, Biryani, Samosa","North Indian, Fast Food, Street Food",800,Delivery,Koramangala 4th Block
Keep It Straight Cafe,Yes,Yes,3.9,202,HSR,Cafe,"Coffee, Tea, Pasta Alfredo, Chai, Burgers, White Sauce Pasta, French Fries","Cafe, North Indian, Fast Food",500,Delivery,Koramangala 4th Block
Al Swaad Take Away,Yes,No,3.1,13,Richmond Road,Quick Bites,Unknown,"North Indian, South Indian, Arabian",350,Delivery,Koramangala 4th Block
Mistaan Sweets And Chaat,Yes,No,3.3,4,HSR,Sweet Shop,Unknown,"Street Food, Mithai",200,Delivery,Koramangala 4th Block
Roots,Yes,Yes,4.5,1888,Koramangala 1st Block,"Casual Dining, Bar","Kadhai Murgh, Coffee Toffee, Pasta, Tandoori Chicken, Dum Aloo, Tandoori Pomfret, Butter Chicken","North Indian, South Indian, Chinese, Continental, Mangalorean",1200,Delivery,Koramangala 4th Block
Gulp The Pulp,Yes,No,3.7,19,Koramangala 4th Block,Delivery,Unknown,"Beverages, Juices, Healthy Food",200,Delivery,Koramangala 4th Block
Hyderabad Biryaani Home,Yes,No,3.0,137,South Bangalore,Takeaway,"Chicken, Hyderabadi Biryani, Mutton Biryani","North Indian, Hyderabadi, Chinese",650,Delivery,Koramangala 4th Block
Mustard Food Court,Yes,No,3.6,165,Koramangala 3rd Block,Casual Dining,"Chicken Biryani, Chicken Wings, Chicken Curry, Kadhai Paneer, Butter Chicken, Noodles, Vegetable Biryani","North Indian, Chinese",500,Delivery,Koramangala 4th Block
Kings Kitchen,Yes,No,3.3,7,Koramangala 1st Block,Delivery,Unknown,"Biryani, North Indian",500,Delivery,Koramangala 4th Block
The Cuboidal,Yes,No,3.6,16,BTM,Quick Bites,Unknown,"Fast Food, Beverages, Sandwich",300,Delivery,Koramangala 4th Block
Armaani Caffe,Yes,No,3.5,12,BTM,Quick Bites,Unknown,Fast Food,250,Delivery,Koramangala 4th Block
Swathi Maharaja,Yes,Yes,3.7,291,Koramangala 4th Block,Casual Dining,"Murgh Ghee Roast, Mutton Biryani, Buttermilk, Andhra Meal, Thali, Chilli Chicken, Prawn","Andhra, North Indian, Chinese, Biryani",750,Delivery,Koramangala 4th Block
Vintage Shack,Yes,Yes,3.9,161,HSR,"Casual Dining, Lounge","Panna Cotta, Murgh Makhani, Pasta, Lemonade, Chicken Biryani, Kulcha, Naan","North Indian, Continental",900,Delivery,Koramangala 4th Block
Hotel Archana Grand,Yes,No,3.6,23,Bommanahalli,Quick Bites,Unknown,"Chinese, North Indian",500,Delivery,Koramangala 4th Block
Mynutrikitchen,Yes,No,3.6,59,HSR,Delivery,Salad,"North Indian, Healthy Food",300,Delivery,Koramangala 4th Block
Cashmere Nites,Yes,No,3.5,74,Koramangala 6th Block,Casual Dining,"Firni, Roganjosh, Phirni, Tabakh Maaz, Wings",Kashmiri,600,Delivery,Koramangala 4th Block
Kumarakom,Yes,Yes,3.8,1168,HSR,Casual Dining,"Egg Roast, Appam, Fish, Sea Food, Chicken Curry, Chicken Stew, Beef Fry","Kerala, Seafood, South Indian, North Indian, Chinese",600,Delivery,Koramangala 4th Block
Kitchen On Table,Yes,No,4.3,791,HSR,Casual Dining,"Sushi, Mocktails, Noodles, Salad, Fish, Miso Soup, Sashimi","BBQ, Chinese, Japanese, Asian",1000,Delivery,Koramangala 4th Block
Rajdhani Thali Restaurant,Yes,Yes,4.0,795,Koramangala 7th Block,Casual Dining,"Gatte Ki Subzi, Rabri, Dhokla, Rajasthani Thali, Jalebi, Daal Baati Churma, Aamras",North Indian,900,Delivery,Koramangala 4th Block
Cupcake Noggins,No,No,4.1,724,Koramangala 4th Block,"Dessert Parlor, Bakery","Cup Cake, Truffle, Raspberry Cheesecake, Burgers, Blueberry Cheesecake, Chocolate Chocochip, Chocolate Crunch","Desserts, Bakery",300,Delivery,Koramangala 4th Block
BBQ Ride 46,Yes,No,3.4,7,South Bangalore,Food Truck,Unknown,BBQ,200,Delivery,Koramangala 4th Block
Ober Cafe,Yes,No,3.5,10,Koramangala 1st Block,Quick Bites,Unknown,"Fast Food, Desserts",200,Delivery,Koramangala 4th Block
Tomago Roast,Yes,No,3.5,12,BTM,Quick Bites,Unknown,"Fast Food, Beverages",400,Delivery,Koramangala 4th Block
Hotel Food Lands,Yes,No,3.8,57,Koramangala 7th Block,Casual Dining,"Sea Food, Biryani, Anjal Tava Fry","Seafood, Mangalorean",700,Delivery,Koramangala 4th Block
Royal Paris,Yes,No,3.9,71,BTM,Casual Dining,"Butter Chicken, Chicken Biryani","North Indian, Arabian, Chinese",1000,Delivery,Koramangala 4th Block
Sufra Restaurant,Yes,Yes,3.7,113,HSR,Casual Dining,"Butter Chicken, Tikka, Chicken Biryani, Naan, Dal Tadka","North Indian, Chinese",800,Delivery,Koramangala 4th Block
Ghee Positive,Yes,No,3.8,48,Koramangala 8th Block,Quick Bites,"Paratha, Mutton Curry","North Indian, Chinese",300,Delivery,Koramangala 4th Block
Grills And Tandoor,Yes,Yes,3.7,109,Koramangala 5th Block,Casual Dining,"Chicken Grill, Biryani, Shahi Tukda, Chop Suey, Barbeque Chicken, Naan, Fish","North Indian, Chinese",900,Delivery,Koramangala 4th Block
Biryani Foodies,Yes,No,3.1,7,Koramangala 5th Block,Quick Bites,Unknown,"Biryani, Mughlai",500,Delivery,Koramangala 4th Block
Paratha Plaza,No,No,3.9,220,Koramangala 4th Block,Quick Bites,"Dum Aloo, Sweet Lassi, Aloo Paratha, Biryani",North Indian,250,Delivery,Koramangala 4th Block
Pathy's Kitchen,Yes,No,3.5,21,Indiranagar,Quick Bites,Unknown,Andhra,500,Delivery,Koramangala 4th Block
Dalma,Yes,No,3.9,475,Koramangala 6th Block,Casual Dining,"Lassi, Mutton Kosha, Thali, Chicken Handi, Chicken Curry, Buttermilk, Rasgulla",Oriya,600,Delivery,Koramangala 4th Block
Vasudev Adiga's,No,No,2.8,289,Koramangala 4th Block,Casual Dining,"Filter Coffee, Mysore Masala Dosa, Buttermilk, Idli, Rava Dosa, Neer Dosa, Thali","South Indian, North Indian, Chinese, Street Food",250,Delivery,Koramangala 4th Block
Grand Gowdru Hotel,Yes,No,3.5,31,Koramangala 6th Block,Casual Dining,Unknown,"South Indian, North Indian, Chinese",700,Delivery,Koramangala 4th Block
Helloo Delhi,Yes,Yes,4.1,221,Koramangala 4th Block,Casual Dining,"Rasmalai, Murgh Lababdar, Kadai Paneer, Dal Makhani, Fish, Jal-jeera, Lassi",North Indian,1000,Delivery,Koramangala 4th Block
Abhiruchi Moonlight,Yes,No,3.3,4,Bommanahalli,"Takeaway, Delivery",Unknown,North Indian,300,Delivery,Koramangala 4th Block
Indus Family Restaurant,Yes,No,3.8,117,BTM,Casual Dining,"Mutton Biryani, Thali","North Indian, Biryani",600,Delivery,Koramangala 4th Block
Golden China,Yes,No,3.6,22,Koramangala 1st Block,Quick Bites,Unknown,Chinese,300,Delivery,Koramangala 4th Block
Zengi Pub & Restaurant,Yes,No,3.7,32,BTM,"Pub, Casual Dining",Unknown,"Finger Food, Continental, Chinese",900,Delivery,Koramangala 4th Block
Chill-Um Cafe,Yes,Yes,4.1,152,Koramangala 6th Block,Quick Bites,"Peri Peri Chicken, Fries, Lemongrass Chicken, Margherita Pizza","Cafe, Chinese, Continental",600,Delivery,Koramangala 4th Block
Swad 'E' Punjab,Yes,No,3.6,50,HSR,Casual Dining,Unknown,"North Indian, Chinese, Mughlai",500,Delivery,Koramangala 4th Block
Bewiched,Yes,No,3.4,10,HSR,Quick Bites,Unknown,"Fast Food, Sandwich, Burger",300,Delivery,Koramangala 4th Block
Kullukki,Yes,No,3.5,9,Koramangala 5th Block,Quick Bites,Unknown,"Juices, Beverages, Fast Food",400,Delivery,Koramangala 4th Block
Cinnamon,Yes,No,3.9,450,HSR,Casual Dining,"Raita, Tandoori Chicken, Egg Chilli, Hakka Noodles, Chicken Taka Tak, Palak Paneer, Veg Pulao","North Indian, Chinese, Biryani",550,Delivery,Koramangala 4th Block
Lord of Combos,Yes,No,3.0,28,HSR,Delivery,Unknown,North Indian,500,Delivery,Koramangala 4th Block
Kettle & Kegs,Yes,No,3.4,10,HSR,Delivery,Unknown,"Tea, Beverages",200,Delivery,Koramangala 4th Block
Samaikya,Yes,Yes,3.9,535,HSR,Casual Dining,"Andhra Thali, Mutton Biryani, Mutton Fry, Lassi, Chicken Curry, Ragi Mudde, Ulavacharu","Andhra, Seafood, Biryani",900,Delivery,Koramangala 4th Block
Daily Bread,No,No,2.8,53,Koramangala 4th Block,"Bakery, Quick Bites","Sandwiches, Sandwich, Coffee","Bakery, Fast Food, Italian",600,Delivery,Koramangala 4th Block
